,x,y
1259,1.56,-1.8
1260,1.56,-1.68
1261,1.56,-1.56
1262,1.56,-1.44
1263,1.56,-1.32
1264,1.56,-1.2
1265,1.56,-1.08
1266,1.56,-0.96
1267,1.56,-0.84
1268,1.56,-0.72
1269,1.56,-0.6
1270,1.56,-0.48
1271,1.56,-0.36
1272,1.56,-0.24
1273,1.56,-0.12
1274,1.56,0.0
1275,1.56,0.12
1276,1.56,0.24
1277,1.56,0.36
1278,1.56,0.48
1279,1.56,0.6
1280,1.56,0.72
1281,1.56,0.84
1282,1.56,0.96
1283,1.56,1.08
1284,1.56,1.2
1285,1.56,1.32
1286,1.56,1.44
1287,1.56,1.56
1288,1.56,1.68
1289,1.56,1.8
1290,1.56,1.92
1291,1.56,2.04
1292,1.56,2.16
1293,1.56,2.28
1294,1.56,2.4
1295,1.56,2.52
1296,1.56,2.64
1297,1.56,2.76
1298,1.56,2.88
1299,1.56,3.0
1300,1.56,3.12
1301,1.56,3.24
